Country,HDI rank,Expected years of schooling,GNI per capita rank minus HDI rank,Gross national income (GNI) per capita,Human Development Index (HDI) ,Life expectancy at birth,Mean years of schooling
SWITZERLAND,1.0,16.50029945,5.0,66933.00454,0.962,83.9872,13.85966015
NORWAY,2.0,18.18519974,6.0,64660.10622,0.961,83.2339,13.00362968
ICELAND,3.0,19.16305923,11.0,55782.04981,0.959,82.6782,13.76716995
"HONG KONG, CHINA (SAR)",4.0,17.27816963,6.0,62606.8454,0.952,85.4734,12.22620964
AUSTRALIA,5.0,21.05459023,18.0,49238.43335,0.951,84.5265,12.72681999
DENMARK,6.0,18.71479988,6.0,60364.78595,0.948,81.3753,12.96049023
SWEDEN,7.0,19.41852951,9.0,54489.37401,0.947,82.9833,12.60972023
IRELAND,8.0,18.94522095,-3.0,76168.98443,0.945,81.9976,11.58222303
GERMANY,9.0,17.01013947,6.0,54534.21682,0.942,80.6301,14.09096691
NETHERLANDS,10.0,18.69316522,3.0,55979.411,0.941,81.6873,12.58162975
FINLAND,11.0,19.05192947,11.0,49452.16672,0.94,82.0381,12.87362003
SINGAPORE,12.0,16.5243206,-10.0,90918.64471,0.939,82.7545,11.92488003
BELGIUM,13.0,19.60421944,7.0,52293.39977,0.937,81.8787,12.37567997
NEW ZEALAND,13.0,20.28388977,16.0,44057.31394,0.937,82.4513,12.94468975
CANADA,15.0,16.39625931,9.0,46807.98619,0.936,82.6565,13.83442722
LIECHTENSTEIN,16.0,15.18157005,-15.0,146829.7006,0.935,83.2575,12.53854
LUXEMBOURG,17.0,14.39813995,-13.0,84649.47467,0.93,82.6287,13.01519217
UNITED KINGDOM,18.0,17.30971909,9.0,45224.76564,0.929,80.7422,13.4061203
JAPAN,19.0,15.22162588,12.0,42274.29134,0.925,84.7839,13.36610034
KOREA (REPUBLIC OF),19.0,16.52173996,9.0,44500.93187,0.925,83.6978,12.51293027
UNITED STATES,21.0,16.28097916,-14.0,64765.21509,0.921,77.1982,13.68342972
ISRAEL,22.0,16.05088997,10.0,41523.74319,0.919,82.255,13.3448664
MALTA,23.0,16.83856964,12.0,38884.45623,0.918,83.7769,12.21026039
SLOVENIA,23.0,17.65492058,10.0,39746.01987,0.918,80.6904,12.80368042
AUSTRIA,25.0,16.00795937,-8.0,53618.67138,0.916,81.5797,12.25669003
UNITED ARAB EMIRATES,26.0,15.71769047,-15.0,62573.59181,0.911,78.7104,12.69402981
SPAIN,27.0,17.91690063,10.0,38353.60164,0.905,83.01,10.60540009
FRANCE,28.0,15.81206989,-2.0,45937.05273,0.903,82.4988,11.61005974
CYPRUS,29.0,15.64826965,9.0,38188.42152,0.896,81.2033,12.44017029
ITALY,30.0,16.22678947,0.0,42839.51441,0.895,82.8502,10.7401104
ESTONIA,31.0,15.92895985,8.0,38048.26372,0.89,77.1436,13.54843044
CZECHIA,32.0,16.21968079,4.0,38745.21386,0.889,77.7283,12.86931038
GREECE,33.0,20.02878952,17.0,29002.48545,0.887,80.1106,11.40853024
POLAND,34.0,16.0271492,8.0,33033.96081,0.876,76.4572,13.1647501
BAHRAIN,35.0,16.29755974,-1.0,39497.24788,0.875,78.7605,11.04658985
LITHUANIA,35.0,16.28506088,5.0,37931.30359,0.875,73.7201,13.49810028
SAUDI ARABIA,35.0,16.13549042,-10.0,46111.55135,0.875,76.936,11.31052971
PORTUGAL,38.0,16.87122917,3.0,33154.53343,0.866,81.0443,9.575940132
LATVIA,39.0,16.20252991,4.0,32803.23423,0.863,73.5786,13.25271988
ANDORRA,40.0,13.30023874,-19.0,51166.62661,0.858,80.3684,10.55511952
CROATIA,40.0,15.11209965,8.0,30132.28814,0.858,77.5804,12.19108434
